,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature
0,220755,39,0.74,0.102,0.641,0.0,0.121,-9.494,0.0863,79.022,0.324,4
1,204000,46,0.64,0.328,0.464,0.0,0.225,-7.564,0.0876,90.029,0.294,4
2,220310,37,0.779,0.3,0.488,0.0,0.0757,-10.387,0.0366,135.974,0.712,4
3,196500,35,0.917,0.101,0.681,3.34e-05,0.0919,-7.564,0.0786,109.986,0.719,4
4,198582,35,0.535,0.707,0.559,0.0,0.124,-5.69,0.0856,159.957,0.762,4
5,191797,27,0.901,0.56,0.476,1.45e-05,0.104,-7.618,0.311,89.028,0.616,4
6,213029,46,0.731,0.241,0.794,2.22e-06,0.122,-4.63,0.138,177.97,0.723,4
7,187555,37,0.726,0.152,0.706,0.000587,0.0291,-3.448,0.343,119.896,0.555,3
8,227865,34,0.894,0.055,0.653,0.0,0.101,-6.933,0.319,93.99,0.75,4
9,201723,39,0.913,0.0804,0.857,1.79e-05,0.0786,-5.854,0.216,98.017,0.853,4
10,231176,39,0.796,0.329,0.786,2.88e-06,0.102,-5.702,0.049,101.996,0.758,4
11,260000,19,0.641,0.121,0.555,0.0,0.121,-10.855,0.112,76.492,0.785,4
12,215769,30,0.701,0.211,0.546,0.000624,0.0733,-12.32,0.161,90.978,0.507,4
13,334000,31,0.899,0.181,0.71,1.51e-06,0.0519,-5.021,0.216,92.018,0.639,4
14,204512,34,0.621,0.187,0.538,2.14e-06,0.104,-8.52,0.0924,161.991,0.521,4
15,193358,33,0.836,0.00146,0.641,0.000137,0.0987,-6.099,0.0822,100.028,0.56,4
16,232057,39,0.698,0.0341,0.773,0.0,0.164,-8.106,0.184,100.011,0.527,4
17,195223,28,0.932,0.184,0.409,0.0,0.13,-9.515,0.429,129.993,0.625,4
18,231150,42,0.607,0.141,0.679,0.0,0.327,-7.277,0.113,175.861,0.331,4
19,223402,44,0.671,0.0568,0.687,0.0,0.163,-6.318,0.23,173.833,0.684,4
20,186382,37,0.745,0.303,0.827,0.000401,0.243,-4.074,0.0405,93.987,0.786,4
21,198979,31,0.491,0.296,0.605,0.0,0.105,-8.257,0.151,176.024,0.542,4
22,190979,40,0.68,0.403,0.585,0.0,0.122,-8.199,0.104,147.96,0.535,4
23,211279,13,0.898,0.655,0.614,0.0,0.111,-8.506,0.383,141.089,0.777,4
24,237374,28,0.735,0.419,0.671,4.23e-06,0.173,-6.037,0.197,177.977,0.537,4
25,231897,36,0.795,0.145,0.631,0.0,0.173,-6.995,0.0567,128.025,0.751,4
26,194526,44,0.778,0.368,0.635,0.0,0.27,-9.641,0.385,94.943,0.875,4
27,212307,34,0.824,0.369,0.422,0.0,0.0768,-11.544,0.0845,103.979,0.649,4
28,230204,3,0.897,0.0458,0.858,1.81e-06,0.274,-3.263,0.0852,98.028,0.512,4
29,197138,35,0.501,0.118,0.837,0.0,0.156,-4.354,0.125,111.98,0.727,5
30,173195,28,0.665,0.0369,0.551,0.148,0.122,-11.656,0.0723,194.045,0.893,4
31,249469,22,0.757,0.014,0.852,0.00012,0.236,-2.979,0.344,102.032,0.595,4
32,268480,29,0.641,0.296,0.616,0.0,0.237,-5.175,0.181,162.049,0.782,4
33,271516,30,0.801,0.233,0.744,0.0,0.148,-4.797,0.322,129.822,0.576,4
34,186000,25,0.767,0.291,0.703,0.000981,0.0594,-6.551,0.0938,180.03,0.967,4
35,184842,27,0.826,0.0563,0.792,0.000213,0.058,-4.496,0.0515,100.012,0.432,4
36,237062,39,0.561,0.438,0.965,0.0,0.139,-3.313,0.171,180.165,0.782,3
37,223312,30,0.381,0.356,0.228,0.0,0.0954,-11.725,0.0516,80.124,0.42,4
38,227360,29,0.706,0.361,0.32,4.12e-05,0.102,-15.846,0.04,92.002,0.257,4
39,193854,34,0.769,0.103,0.537,0.0,0.308,-8.689,0.322,140.103,0.38,4
40,529162,33,0.841,0.456,0.635,0.0,0.0524,-6.446,0.358,141.897,0.643,4
41,232120,12,0.761,0.0289,0.824,0.0,0.22,-4.113,0.0625,94.972,0.602,4
42,240000,29,0.449,0.117,0.538,0.0,0.162,-6.991,0.057,86.164,0.317,4
43,223548,30,0.778,0.343,0.672,0.0,0.702,-6.88,0.13,123.978,0.767,4
44,241972,31,0.783,0.0451,0.773,0.00596,0.0998,-3.915,0.0816,94.949,0.929,4
45,190690,24,0.741,0.19,0.734,7.6e-06,0.114,-7.539,0.0631,89.959,0.836,4
46,195724,29,0.841,0.123,0.557,2.25e-06,0.152,-9.625,0.181,145.056,0.852,4
47,205821,29,0.71,0.506,0.512,0.0,0.12,-9.467,0.0485,100.016,0.648,4
48,229671,30,0.66,0.328,0.783,4.84e-06,0.0562,-4.795,0.144,92.479,0.684,4
49,293276,33,0.759,0.0188,0.726,0.0,0.182,-3.633,0.302,148.91,0.139,4
